doi	Total trials pub2	Total numb participants pub2	Search date pub 2	Total trials pub3	Total numb participants pub3	Search date pub 3	Conclusion
10.1002/14651858.CD005191	11	2441	1 June 2008	14	4041	1 April 2011	0
10.1002/14651858.CD009202	1	24	10 May 2012	1	24	26 March 2015	0
10.1002/14651858.CD008378	1	306	1 May 2013	2	326	1 June 2015	0
10.1002/14651858.CD004704	6	59543	1 March 2007	6	59543	1 February 2013	0
10.1002/14651858.CD006781	5	620	1 March 2012	5	620	1 November 2014	0
10.1002/14651858.CD006810	5	115	2 February 2011	5	115	14 March 2013	0
10.1002/14651858.CD008901	4	161	15 May 2013	4	161	4 March 2015	0
10.1002/14651858.CD007372	3	612	24 February 2012	4	1439	30 June 2013	1
10.1002/14651858.CD006936	14	11270	1 April 2009	27	16785	1 August 2014	0
10.1002/14651858.CD007601	4	266	1 October 2010	5	366	1 July 2013	0
10.1002/14651858.CD006362	9	1069	1 April 2011	9	1069	1 April 2013	0
10.1002/14651858.CD009472	1	37	1 August 2012	1	37	11 August 2015	0
10.1002/14651858.CD000078	6	158	24 April 2012	6	158	5 August 2013	0
10.1002/14651858.CD001689	16	1908	1 May 2009	19	2686	27 November 2013	0
10.1002/14651858.CD006663	3	316	7 April 2010	4	352	11 September 2012	0
10.1002/14651858.CD005978	6	2860	1 January 2010	6	2860	21 October 2016	0
10.1002/14651858.CD008011	2	179	1 May 2011	2	179	1 September 2015	0
10.1002/14651858.CD008796	5	182	6 September 2011	6	222	11 November 2014	0
10.1002/14651858.CD007731	5	373	1 October 2011	5	373	1 February 2016	0
10.1002/14651858.CD007131	9	1314	1 April 2008	18	2505	1 January 2013	0
10.1002/14651858.CD006771	14	2957	14 July 2009	15	3496	30 November 2016	0
10.1002/14651858.CD007752	3	240	1 November 2009	4	300	31 March 2013	0
10.1002/14651858.CD006574	20	686	1 January 2007	24	910	1 January 2012	1
10.1002/14651858.CD007453	2	47	1 July 2008	2	47	1 April 2011	0
10.1002/14651858.CD008602	13	507	1 April 2011	14	607	1 November 2013	0
10.1002/14651858.CD012143	139	24686	1 October 2016	139	24686	1 October 2016	1
10.1002/14651858.CD007854	8	665	1 March 2010	35	3329	1 September 2015	0
10.1002/14651858.CD007037	3	203	1 January 2008	7	432	1 November 2015	0
10.1002/14651858.CD007959	4	176	18 July 2009	5	382	25 May 2012	1
10.1002/14651858.CD004951	5	114	1 March 2011	5	98	14 November 2016	0
10.1002/14651858.CD009551	10	12324	1 June 2015	10	12324	1 June 2015	0
10.1002/14651858.CD010107	6	1342	30 September 2012	6	1342	1 December 2014	0
10.1002/14651858.CD006589	68	25142	1 March 2009	65	28053	1 June 2011	0
